# Auto-generated hub list (IATA)
# Columns: IATA  # score  name/country/type
ADE  # 1044  Aden International Airport (YE) [large_airport]
MRV  # 1044  Mineralnye Vody Airport (RU) [large_airport]
MDC  # 1042  Sam Ratulangi International Airport (ID) [large_airport]
DYG  # 1042  Zhangjiajie Hehua International Airport (CN) [large_airport]
SCO  # 1042  Aktau International Airport (KZ) [large_airport]
IFN  # 1040  Isfahan Shahid Beheshti International Airport (IR) [large_airport]
CEK  # 1040  Kurchatov Chelyabinsk International Airport (RU) [large_airport]
BND  # 1038  Bandar Abbas International Airport (IR) [large_airport]
ZHA  # 1038  Zhanjiang Wuchuan International Airport (CN) [large_airport]
USM  # 1036  Samui International Airport (TH) [large_airport]
KOJ  # 1036  Kagoshima Airport (JP) [large_airport]
KLO  # 1036  Kalibo International Airport (PH) [large_airport]
JHB  # 1036  Senai International Airport (MY) [large_airport]
LKO  # 1036  Chaudhary Charan Singh International Airport (IN) [large_airport]
GOJ  # 1036  Nizhny Novgorod / Strigino International Airport (RU) [large_airport]
YIW  # 1036  Yiwu Airport (CN) [large_airport]
