# Auto-generated hub list (IATA)
# Columns: IATA  # score  name/country/type
VER  # 1032  General Heriberto Jara International Airport (MX) [large_airport]
CUL  # 1032  Bachigualato Federal International Airport (MX) [large_airport]
GEG  # 1030  Spokane International Airport (US) [large_airport]
YLW  # 1030  Kelowna International Airport (CA) [large_airport]
YXE  # 1030  Saskatoon John G. Diefenbaker International Airport (CA) [large_airport]
BDA  # 1030  L.F. Wade International Airport (BM) [large_airport]
FPO  # 1030  Grand Bahama International Airport (BS) [large_airport]
MID  # 1030  Manuel Crescencio Rejón International Airport (MX) [large_airport]
MZT  # 1030  General Rafael Buelna International Airport (MX) [large_airport]
MGA  # 1029  Augusto C. Sandino (Managua) International Airport (NI) [large_airport]
BJX  # 1029  Guanajuato International Airport (MX) [large_airport]
GND  # 1029  Maurice Bishop International Airport (GD) [large_airport]
RTB  # 1028  Juan Manuel Gálvez International Airport (HN) [large_airport]
COS  # 1027  City of Colorado Springs Municipal Airport (US) [large_airport]
TLC  # 1027  Adolfo López Mateos International Airport (MX) [large_airport]
YYJ  # 1026  Victoria International Airport (CA) [large_airport]
SRQ  # 1026  Sarasota Bradenton International Airport (US) [large_airport]
VSA  # 1026  Carlos Rovirosa Pérez International Airport (MX) [large_airport]
VRA  # 1024  Juan Gualberto Gomez International Airport (CU) [large_airport]
EIS  # 1024  Terrance B. Lettsome International Airport (VG) [large_airport]
CJS  # 1024  Abraham González International Airport (MX) [large_airport]
SKB  # 1022  Robert L. Bradshaw International Airport (KN) [large_airport]
ADZ  # 1022  Gustavo Rojas Pinilla International Airport (CO) [large_airport]
STI  # 1022  Cibao International Airport (DO) [large_airport]
PWM  # 1020  Portland International Jetport (US) [large_airport]
